31.4593983,-0.008,0.117,0.0634,0.234,0.145,0.067
0,-31.895,0.149,0.0035,0.088,0.000,-0.064
87.658146,0.000,-0.029,0.1166,0.245,0.184,0.180
14.35254851,-30.843,0.075,0.1486,0.241,0.085,-0.032
14.17588934,-32.003,0.054,-0.0293,0.123,0.151,0.002
52.785372,0.000,0.014,0.0746,0.277,0.043,0.072
39.73903029,-16.977,-0.099,0.0544,0.184,0.057,-0.018
24.647278,0.000,-0.160,0.0144,0.319,0.087,0.032
2.261584679,-41.700,-0.025,-0.0991,0.106,-0.117,-0.131
9.872163106,-20.495,-0.005,-0.1604,0.080,-0.128,-0.029
19.3923694,-14.325,0.023,-0.0246,0.018,-0.156,0.005
15.69176665,-6.429,-0.017,-0.0049,0.072,-0.034,-0.010
21.548622,0.000,-0.080,0.0232,-0.075,0.028,0.033
1.092454101,-20.995,-0.017,-0.0172,-0.094,-0.027,-0.048
5.200265305,-23.923,0.001,-0.0787,-0.127,-0.048,-0.032
9.388920508,-23.448,-0.013,-0.0190,-0.185,-0.065,0.013
7.151374222,-11.000,-0.083,0.0010,-0.180,-0.031,-0.012
27.8292771,-4.574,0.010,-0.0133,-0.213,0.000,-0.001
4.554192035,-25.054,0.022,-0.0833,-0.164,-0.096,-0.082
30.24075,0.000,-0.093,0.0100,-0.043,0.009,0.092
7.358964492,-15.282,-0.063,0.0220,-0.117,-0.060,-0.070
4.350044563,-15.230,-0.043,-0.0931,-0.131,-0.001,-0.023
9.571321045,-29.716,0.038,-0.0630,-0.202,-0.133,-0.035
20.55153896,-3.067,0.030,-0.0375,-0.158,-0.066,-0.002
24.834674,0.000,-0.043,0.0383,-0.085,0.003,0.041
6.726568313,-23.510,0.024,0.0297,-0.109,0.027,-0.011
27.60487635,-11.988,0.104,-0.0427,-0.129,-0.002,-0.032
23.52491802,-0.007,0.099,0.0244,-0.072,0.013,0.056
20.822083,0.000,-0.006,0.1044,0.059,0.073,0.048
19.928188,0.000,-0.033,0.0988,0.017,0.155,0.050
3.234201651,-22.020,0.055,-0.0058,0.031,0.043,-0.051
14.764464,-5.489,-0.020,-0.0286,0.082,0.017,0.023
