longvolume,shortvolume,change_2,change2,change_10,change_3,change,volume,change2x100,change_2x100,change_10x100,change_3x100,changex100,change_true,volume_t,change_2x1000
2.84,-13.98228,0.02205,-0.003546,-0.076816,-0.010413,-0.029203,-11.13836,-0.354586,2.205049,-7.681644,-1.041308,-2.920278,0,331,322
4.89,-16.53675,0.037764,-0.067836,-0.14784,-0.042189,-0.038627,-11.649469,-6.78358,3.77638,-14.783999,-4.218879,-3.86271,0,331,338
18.14,-4.7814,-0.05872,0.022068,-0.034666,-0.007159,0.060718,13.359648,2.206771,-5.871951,-3.466553,-0.715872,6.071826,0,331,241
2.32,-25.31253,-0.074759,0.037764,-0.009088,-0.000878,-0.022958,-22.989707,3.77638,-7.47589,-0.908798,-0.087789,-2.295774,0,331,225
0,-22.60206,-0.002858,-0.058737,-0.016253,0.001963,-0.035787,-22.602059,-5.873671,-0.285849,-1.625286,0.19631,-3.578719,0,331,297
0,-36.1651,0.031042,-0.074759,-0.135166,-0.097699,-0.039003,-36.165104,-7.47589,3.104221,-13.516592,-9.769948,-3.900288,0,331,331
19.01,-0.00885,0.00694,-0.002876,0.035314,-0.038645,0.036124,19.005577,-0.287571,0.693978,3.53141,-3.864465,3.612403,0,331,307
18.86,-4.3343,0.01233,0.031025,-0.055043,-0.007973,-0.005097,14.522034,3.102498,1.233037,-5.504304,-0.797277,-0.509721,0,331,312
4.34,-11.22457,-0.050848,0.00694,-0.036147,0.043066,0.012055,-6.884004,0.693978,-5.084804,-3.614707,4.306632,1.205483,0,331,249
4.08,-18.43773,-0.026139,0.012348,-0.061503,0.007233,0.000293,-14.358004,1.234759,-2.613854,-6.150308,0.723253,0.029272,0,331,274
0.01,-17.85098,0.011525,-0.050848,-0.083417,-0.038799,-0.051123,-17.845825,-5.084804,1.152545,-8.341663,-3.879934,-5.112341,0,331,312
14.19,-5.3432,0.063917,-0.026121,-0.019803,-0.025846,0.025015,8.849981,-2.612132,6.391665,-1.980318,-2.584589,2.501487,0,331,364
8.26,-8.00257,0.10575,0.011525,-0.093965,-0.039604,-0.013503,0.254535,1.152545,10.574973,-9.396497,-3.960385,-1.350327,0,331,406
25.38,-0.00802,-0.026232,0.063899,0.006335,0.088948,0.077396,25.373766,6.389941,-2.623195,0.633462,8.894751,7.73959,0,331,274
15.12,0,-0.049868,0.105732,0.070446,0.092232,0.028332,15.118605,10.573248,-4.986789,7.044625,9.223217,2.833188,1,331,250
0,-18.0961,0.00792,-0.026215,0.054884,0.051144,-0.054548,-18.096102,-2.621474,0.791986,5.488372,5.114365,-5.454837,0,331,308
11.22,-1.79883,0.05807,-0.049885,0.02342,-0.02155,0.004649,9.422427,-4.988509,5.80705,2.341962,-2.155013,0.464861,0,331,358
17.9,-0.01119,0.012895,0.007903,0.03179,-0.046633,0.003254,17.892792,0.790264,1.289457,3.179031,-4.663283,0.325388,0,331,313
30.36,0,0.021835,0.05807,0.074559,0.062722,0.054815,30.359639,5.80705,2.183477,7.455876,6.272181,5.481484,0,331,322
0,-18.16162,0.118928,0.012895,0.032355,0.016149,-0.04188,-18.161622,1.289457,11.892805,3.235462,1.614887,-4.18801,0,331,419
29.38,-0.00793,-0.022621,0.021852,0.147333,0.076662,0.063742,29.374207,2.185198,-2.262132,14.733277,7.666158,6.374157,0,331,277
55.41,0,-0.037756,0.118911,0.177472,0.076998,0.055151,55.405727,11.891081,-3.775594,17.747158,7.699814,5.515132,1,331,262
6.68,-16.00957,-0.001652,-0.022604,0.113122,0.041106,-0.077695,-9.327798,-2.260413,-0.165182,11.312239,4.110582,-7.76954,0,331,298
39.9,-10.95668,-0.041176,-0.037739,0.075718,0.017375,0.040005,28.938704,-3.773875,-4.117571,7.571808,1.737456,4.000493,0,331,259
6.84,-12.88984,-0.010118,-0.001635,0.005713,-0.079346,-0.041606,-6.052538,-0.163461,-1.011754,0.571295,-7.934594,-4.16057,0,331,290
19.94,-14.56275,-0.03443,-0.041159,0.060725,-0.001187,-0.010048,5.37362,-4.115851,-3.443046,6.072463,-0.118724,-1.004766,0,331,266
13.7,-7.45585,-0.065048,-0.020611,0.045503,-0.051719,-0.010565,6.243513,-2.061147,-6.504793,4.550262,-5.171903,-1.056487,0,331,235
0,-36.55738,0.037609,-0.03443,0.018369,-0.044475,-0.023885,-36.557384,-3.443046,3.760943,1.836917,-4.447466,-2.388532,0,331,338
5.3,-20.08829,0.099771,-0.065065,-0.077583,-0.075606,-0.04119,-14.788927,-6.506512,9.977063,-7.758315,-7.560592,-4.118964,0,331,400
30.29,-5.30004,0.139473,0.037609,0.043068,0.013715,0.078832,24.988871,3.760943,13.947251,4.306816,1.371513,7.883154,0,331,439
20.62,-9.52718,-0.013057,0.099771,0.000275,0.05854,0.020923,11.096205,9.977063,-1.305669,0.027524,5.85399,2.09226,1,331,287
43.22,-1.42506,-0.085979,0.139473,0.063631,0.218414,0.118525,41.793623,13.947251,-8.597932,6.363149,21.8414,11.852511,1,331,214
0,-38.22879,0.040483,-0.013057,0.009842,0.007863,-0.131443,-38.228785,-1.305669,4.048273,0.984207,0.786318,-13.144319,0,331,340
19.68,-5.85033,0.051797,-0.085996,0.015359,0.032444,0.045507,13.831162,-8.599649,5.179708,1.535919,3.244388,4.550651,0,331,352
9.96,-24.86889,0.086728,0.040483,0.041464,-0.091014,-0.005021,-14.910538,4.048273,8.672834,4.146381,-9.101367,-0.50215,0,331,387
39.09,0,0.034153,0.051797,0.108367,0.097327,0.056804,39.094882,5.179708,3.415256,10.836734,9.732716,5.680422,0,331,334
22.13,0,0.073062,0.086711,0.148853,0.081702,0.029873,22.126585,8.671113,7.306155,14.885303,8.170249,2.987274,1,331,373
19.02,-8.03653,0.055309,0.034135,0.177048,0.090976,0.004279,10.983254,3.413537,5.530929,17.704833,9.097618,0.427853,0,331,355
36.83,-3.83961,-0.063719,0.073079,0.287275,0.102956,0.068797,32.986097,7.307874,-6.371906,28.727537,10.295611,6.879726,0,331,236
2.6,-26.73229,-0.0413,0.055309,0.194773,0.05959,-0.013462,-24.136216,5.530929,-4.130019,19.477286,5.959019,-1.346153,0,331,259
4.73,-19.02616,-0.026511,-0.063702,0.123479,0.005034,-0.050264,-14.293992,-6.37019,-2.65107,12.347943,0.503437,-5.02643,0,331,273
19.91,-15.04396,0.052656,-0.041317,0.013883,-0.054756,0.008951,4.86528,-4.131735,5.265587,1.388315,-5.475616,0.895144,0,331,353
0,-25.68557,0.111278,-0.026511,0.110007,-0.076762,-0.035459,-25.685566,-2.65107,11.127821,11.000705,-7.676167,-3.545896,0,331,411
53.07,-2.30165,0.030409,0.052656,0.152674,0.061612,0.088129,50.764632,5.265587,3.040929,15.267412,6.161203,8.812889,0,331,330
48.88,0,0.120167,0.111261,0.180835,0.07578,0.023129,48.877737,11.126101,12.016705,18.08345,7.577979,2.312892,1,331,420
16.32,-28.01212,0.287899,0.030426,0.131248,0.118565,0.007313,-11.691853,3.042647,28.789925,13.124756,11.856498,0.731302,0,331,588
79.18,-4.9046,0.120143,0.120184,0.214339,0.143324,0.112863,74.270634,12.018424,12.014285,21.43391,14.332377,11.286296,1,331,420
68.86,-11.39515,0.031151,0.287899,0.385258,0.295233,0.174839,57.46211,28.789925,3.115147,38.52578,29.523333,17.483896,1,331,331
57.27,-28.93305,-0.034662,0.120143,0.261487,0.233141,-0.057748,28.332957,12.014285,-3.46621,26.148686,23.314141,-5.774821,1,331,265
35.13,-0.00439,-0.031022,0.028001,0.361003,0.206045,0.085799,35.120771,2.800121,-3.102199,36.100308,20.60449,8.579897,0,331,269
0.01,-45.81856,0.042863,-0.034662,0.290621,-0.09239,-0.120375,-45.812727,-3.46621,4.286297,29.062116,-9.23903,-12.037489,0,331,343
31.53,-0.10161,-0.155706,-0.031039,0.37134,0.05475,0.099492,31.430938,-3.10391,-15.570581,37.133988,5.475036,9.94925,0,331,144
0.01,-33.92733,-0.106307,0.052907,0.360198,-0.077564,-0.052492,-33.921408,5.290732,-10.630667,36.019764,-7.756352,-5.249217,0,331,194
5.21,-30.48,0.013217,-0.161653,0.162332,-0.056368,-0.109218,-25.274279,-16.165261,1.321715,16.233173,-5.636823,-10.921777,0,331,313
9.37,-22.85179,-0.04841,-0.106307,0.142106,-0.158743,0.002914,-13.478983,-10.630667,-4.841004,14.210615,-15.874304,0.291429,0,331,252
15.19,-14.46216,-0.0651,0.013217,0.1451,-0.096015,0.01032,0.729184,1.321715,-6.509999,14.509971,-9.601506,1.031971,0,331,235
4.81,-22.72603,0.02233,-0.048393,-0.026525,-0.045497,-0.058707,-17.917107,-4.83929,2.233017,-2.652504,-4.549716,-5.870655,0,331,322
13.12,-9.54047,-0.042296,-0.0651,-0.21054,-0.054787,-0.006397,3.579437,-6.509999,-4.229625,-21.053965,-5.478701,-0.63972,0,331,258
24.33,-2.53193,-0.388187,0.02233,-0.124194,-0.036389,0.028712,21.799486,2.233017,-38.818727,-12.419444,-3.638949,2.871205,0,331,-88
3.45,-29.00565,-0.426024,-0.042313,-0.280687,-0.048691,-0.070988,-25.554347,-4.23134,-42.60242,-28.068653,-4.869074,-7.098792,0,331,-126
2.73,-159.29507,-0.054877,-0.38817,-0.467411,-0.359587,-0.31633,-156.568667,-38.817019,-5.487715,-46.741085,-35.958668,-31.632999,0,331,245
30.75,-82.18321,-0.30124,-0.424948,-0.680601,-0.49671,-0.10898,-51.435194,-42.494777,-30.124022,-68.060114,-49.670969,-10.897966,0,331,-1
30.27,-22.50945,-0.207711,-0.054894,-0.574635,-0.371034,0.054127,7.759541,-5.489435,-20.771072,-57.46348,-37.103354,5.412707,0,331,92
