change2
0.117
0.149
-0.029
0.075
0.054
0.014
-0.099
-0.160
-0.025
-0.005
0.023
-0.017
-0.080
-0.017
0.001
-0.013
-0.083
0.010
0.022
-0.093
-0.063
-0.043
0.038
0.030
-0.043
0.024
0.104
0.099
-0.006
-0.033
0.055
-0.020
-0.101
-0.077
0.051
-0.054
-0.049
0.078
0.019
-0.004
-0.068
0.022
0.038
-0.059
-0.075
-0.003
0.031
0.007
0.012
-0.051
-0.026
0.012
0.064
0.106
-0.026
-0.050
0.008
0.058
0.013
0.022
0.119
-0.023
-0.038
-0.002
-0.041
-0.010
-0.034
-0.065
0.038
0.100
0.139
-0.013
-0.086
0.040
0.052
0.087
0.034
0.073
0.055
-0.064
-0.041
-0.027
0.053
0.111
0.030
0.120
0.288
0.120
0.031
-0.035
-0.031
0.043
-0.156
-0.106
0.013
-0.048
-0.065
0.022
-0.042
-0.388
-0.426
-0.055
-0.301
-0.208
0.218
0.141
-0.041
0.006
0.093
0.097
0.172
0.035
-0.118
-0.065
0.036
-0.024
-0.149
-0.276
-0.217
0.049
-0.018
-0.031
0.168
0.173
0.067
-0.057
-0.292
-0.202
0.210
0.107
0.024
0.022
-0.015
0.100
0.130
-0.051
-0.036
0.065
-0.068
-0.125
-0.062
0.029
0.030
-0.073
-0.150
-0.035
0.027
0.017
-0.049
-0.009
0.175
0.055
0.059
0.139
-0.066
-0.086
0.037
-0.002
-0.045
-0.069
0.014
0.113
-0.015
-0.016
0.022
0.091
0.118
0.078
0.150
-0.076
-0.093
0.099
0.037
-0.050
-0.067
0.019
0.027
-0.045
0.061
0.017
0.007
0.110
0.047
-0.043
-0.064
0.079
0.039
-0.011
0.062
0.064
0.035
-0.047
-0.063
0.014
-0.011
0.006
-0.025
-0.060
0.065
-0.028
-0.065
0.057
0.037
-0.017
0.069
0.032
0.055
0.114
0.056
0.045
0.051
0.033
-0.108
-0.006
0.137
-0.014
-0.034
0.017
-0.077
-0.158
-0.028
0.112
-0.107
-0.055
0.092
0.020
-0.103
-0.084
0.098
0.071
0.003
-0.030
-0.015
-0.089
-0.087
0.016
0.013
0.038
0.071
0.067
0.148
0.039
-0.010
0.048
-0.024
0.013
0.028
-0.027
-0.036
-0.002
-0.086
-0.113
-0.008
-0.070
-0.011
0.033
-0.035
0.046
0.050
0.014
-0.009
-0.017
-0.025
0.007
0.055
0.048
0.037
0.000
-0.099
-0.090
0.010
-0.027
-0.086
-0.088
-0.034
0.103
0.028
-0.076
-0.013
0.060
0.043
0.048
0.010
-0.158
-0.212
-0.100
0.101
0.116
-0.004
-0.057
-0.069
0.027
0.127
-0.024
-0.045
0.022
0.045
0.105
0.062
-0.009
0.048
0.064
-0.027
-0.013
0.022
-0.009
-0.007
0.018
-0.039
-0.033
0.052
0.002
-0.125
-0.093
-0.038
0.024
0.095
0.052
-0.153
-0.203
-0.057
-0.076
-0.214
-0.121
-0.035
0.068
0.124
-0.133
-0.078
-0.009
-0.008
-0.016
-0.052
0.016
0.008
0.002
0.045
0.020
-0.083
-0.154
-0.048
0.113
0.052
0.064
0.085
0.050
0.003
-0.004
0.027
-0.030
-0.003
0.029
0.022
0.034
0.069
0.007
-0.033
0.000
0.028
0.074
0.033
0.070
0.073
0.009
0.031
-0.038
-0.060
0.009
-0.065
-0.139
-0.048
0.009
0.036
0.038
0.075
0.103
0.039
0.042
-0.056
-0.077
0.035
-0.042
-0.097
-0.053
0.020
0.063
-0.057
-0.102
-0.058
-0.112
-0.028
0.076
0.054
0.021
-0.003
0.011
-0.024
-0.079
-0.058
0.045
0.073
0.085
0.172
0.055
-0.033
-0.015
-0.089
0.008
0.081
0.008
-0.015
-0.013
0.049
0.182
0.114
-0.049
-0.042
0.041
-0.018
-0.032
-0.008
-0.033
-0.014
-0.032
-0.021
0.032
0.039
-0.035
-0.047
0.035
0.142
0.089
-0.005
0.004
0.008
0.107
0.113
-0.040
-0.064
-0.025
-0.050
-0.015
-0.027
-0.057
-0.043
-0.054
-0.030
-0.025
-0.027
0.029
0.116
0.031
-0.078
-0.032
0.049
0.077
0.013
-0.049
-0.027
-0.015
0.023
0.086
0.069
0.018
-0.002
0.090
0.148
0.015
-0.012
0.025
-0.129
-0.057
-0.034
-0.105
-0.017
0.038
0.102
0.029
-0.055
0.029
-0.060
-0.106
-0.040
-0.082
-0.046
0.002
0.013
