change
0.067
-0.064
0.180
-0.032
0.002
0.072
-0.018
0.032
-0.131
-0.029
0.005
-0.010
0.033
-0.048
-0.032
0.013
-0.012
-0.001
-0.082
0.092
-0.070
-0.023
-0.035
-0.002
0.041
-0.011
-0.032
0.056
0.048
0.050
-0.051
0.023
0.032
-0.053
-0.049
-0.029
0.080
-0.134
0.085
-0.007
0.026
-0.029
-0.039
0.061
-0.023
-0.036
-0.039
0.036
-0.005
0.012
0.000
-0.051
0.025
-0.014
0.077
0.028
-0.055
0.005
0.003
0.055
-0.042
0.064
0.055
-0.078
0.040
-0.042
-0.010
-0.011
-0.024
-0.041
0.079
0.021
0.119
-0.131
0.046
-0.005
0.057
0.030
0.004
0.069
-0.013
-0.050
0.009
-0.035
0.088
0.023
0.007
0.113
0.175
-0.058
0.086
-0.120
0.099
-0.052
-0.109
0.003
0.010
-0.059
-0.006
0.029
-0.071
-0.316
-0.109
0.054
-0.355
0.138
0.081
0.071
-0.103
0.120
-0.024
0.121
0.051
-0.016
-0.102
0.037
-0.001
-0.023
-0.125
-0.151
-0.065
0.115
-0.132
0.101
0.067
0.106
-0.039
-0.018
-0.274
0.073
0.137
-0.030
0.055
-0.033
0.018
0.082
0.049
-0.099
0.063
0.002
-0.069
-0.056
-0.007
0.036
-0.006
-0.067
-0.083
0.047
-0.020
0.037
-0.087
0.077
0.098
-0.043
0.102
0.034
-0.103
0.018
0.019
-0.021
-0.024
-0.044
0.058
0.054
-0.070
0.054
-0.032
0.123
-0.005
0.083
0.068
-0.143
0.046
0.048
-0.010
-0.040
-0.027
0.046
-0.019
-0.026
0.086
-0.069
0.076
0.019
0.013
-0.056
-0.009
0.088
-0.049
0.038
0.024
0.040
-0.006
-0.042
-0.021
0.035
-0.047
0.053
-0.078
0.018
0.047
-0.075
0.011
0.046
-0.009
0.002
0.077
-0.045
0.100
0.014
0.042
0.003
0.048
-0.011
-0.094
0.088
0.050
-0.064
0.030
-0.013
-0.064
-0.094
0.066
0.044
-0.153
0.098
-0.006
0.026
-0.129
0.046
0.052
0.019
-0.021
-0.014
-0.001
-0.088
0.001
0.015
-0.002
0.040
0.031
0.036
0.112
-0.073
0.063
-0.015
-0.008
0.021
0.007
-0.033
-0.003
0.000
-0.086
-0.027
0.020
-0.089
0.078
-0.046
0.011
0.035
0.015
-0.002
-0.007
-0.010
-0.015
0.022
0.032
0.015
0.021
-0.021
-0.077
-0.012
0.023
-0.049
-0.036
-0.052
0.017
0.086
-0.058
-0.016
0.006
0.054
-0.012
0.059
-0.049
-0.109
-0.103
0.003
0.098
0.018
-0.022
-0.035
-0.035
0.062
0.065
-0.089
0.044
-0.022
0.067
0.038
0.023
-0.032
0.080
-0.016
-0.011
-0.002
0.024
-0.033
0.026
-0.008
-0.031
-0.002
0.053
-0.051
-0.074
-0.020
-0.019
0.042
0.052
0.000
-0.153
-0.050
-0.007
-0.069
-0.145
0.025
-0.080
0.116
-0.004
-0.129
0.052
-0.060
0.052
-0.068
0.016
0.000
0.008
-0.006
0.051
-0.030
-0.044
-0.102
0.053
0.059
-0.007
0.071
0.013
0.037
-0.034
0.029
-0.002
-0.027
0.024
0.005
0.017
0.017
0.051
-0.050
0.011
-0.011
0.039
0.040
-0.002
0.072
0.000
0.009
0.027
-0.059
0.008
0.009
-0.074
-0.065
0.017
-0.008
0.043
-0.006
0.081
0.022
0.017
0.025
-0.081
0.004
0.031
-0.072
-0.025
-0.028
0.049
0.014
-0.071
-0.032
-0.026
-0.086
0.058
0.018
0.036
-0.014
0.012
0.000
-0.024
-0.055
-0.003
0.048
0.025
0.060
0.112
-0.056
0.023
-0.038
-0.050
0.059
0.022
-0.015
0.000
-0.013
0.062
0.124
-0.006
-0.043
0.005
0.039
-0.057
0.028
-0.033
0.000
-0.014
-0.015
-0.003
0.035
0.004
-0.041
-0.008
0.043
0.099
-0.014
0.004
0.000
0.008
0.099
0.014
-0.054
-0.008
-0.014
-0.035
0.020
-0.047
-0.010
-0.029
-0.014
-0.008
-0.016
-0.011
0.040
0.076
-0.045
-0.040
0.000
0.049
0.028
-0.014
-0.033
0.008
-0.017
0.044
0.042
0.027
-0.009
0.006
0.083
0.065
-0.050
0.038
-0.013
-0.116
0.059
-0.094
-0.012
-0.006
0.043
0.059
-0.023
-0.026
0.055
-0.115
0.009
-0.049
-0.033
-0.013
